INFO:repeats=3, level=node
EXPT:layer=conv3, repeat=2, fraction=0.7, accuracy=0.3267
EXPT:layer=conv3, repeat=3, fraction=0.7, accuracy=0.24444
EXPT:layer=conv3, repeat=1, fraction=0.8, accuracy=0.22822
EXPT:layer=conv3, repeat=2, fraction=0.8, accuracy=0.1856
EXPT:layer=conv3, repeat=3, fraction=0.8, accuracy=0.1981
EXPT:layer=conv3, repeat=1, fraction=0.9, accuracy=0.05932
EXPT:layer=conv3, repeat=2, fraction=0.9, accuracy=0.05984
EXPT:layer=conv3, repeat=3, fraction=0.9, accuracy=0.06998
EXPT:layer=conv3, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=conv3, repeat=2, fraction=1.0, accuracy=0.005
EXPT:layer=conv3, repeat=3, fraction=1.0, accuracy=0.005
EXPT:layer=conv4, repeat=1, fraction=0.0, accuracy=0.79072
EXPT:layer=conv4, repeat=2, fraction=0.0, accuracy=0.79072
EXPT:layer=conv4, repeat=3, fraction=0.0, accuracy=0.79072
EXPT:layer=conv4, repeat=1, fraction=0.1, accuracy=0.7536
EXPT:layer=conv4, repeat=2, fraction=0.1, accuracy=0.76706
EXPT:layer=conv4, repeat=3, fraction=0.1, accuracy=0.76982
EXPT:layer=conv4, repeat=1, fraction=0.2, accuracy=0.72336
EXPT:layer=conv4, repeat=2, fraction=0.2, accuracy=0.71914
EXPT:layer=conv4, repeat=3, fraction=0.2, accuracy=0.73452
EXPT:layer=conv4, repeat=1, fraction=0.3, accuracy=0.67448
EXPT:layer=conv4, repeat=2, fraction=0.3, accuracy=0.65948
EXPT:layer=conv4, repeat=3, fraction=0.3, accuracy=0.64426
EXPT:layer=conv4, repeat=1, fraction=0.4, accuracy=0.5927
EXPT:layer=conv4, repeat=2, fraction=0.4, accuracy=0.60768
EXPT:layer=conv4, repeat=3, fraction=0.4, accuracy=0.62442
EXPT:layer=conv4, repeat=1, fraction=0.5, accuracy=0.49208
EXPT:layer=conv4, repeat=2, fraction=0.5, accuracy=0.46524
EXPT:layer=conv4, repeat=3, fraction=0.5, accuracy=0.50544
EXPT:layer=conv4, repeat=1, fraction=0.6, accuracy=0.41264
EXPT:layer=conv4, repeat=2, fraction=0.6, accuracy=0.42812
EXPT:layer=conv4, repeat=3, fraction=0.6, accuracy=0.39312
EXPT:layer=conv4, repeat=1, fraction=0.7, accuracy=0.30716
EXPT:layer=conv4, repeat=2, fraction=0.7, accuracy=0.28544
EXPT:layer=conv4, repeat=3, fraction=0.7, accuracy=0.26538
EXPT:layer=conv4, repeat=1, fraction=0.8, accuracy=0.11758
EXPT:layer=conv4, repeat=2, fraction=0.8, accuracy=0.12952
EXPT:layer=conv4, repeat=3, fraction=0.8, accuracy=0.13322
EXPT:layer=conv4, repeat=1, fraction=0.9, accuracy=0.04584
EXPT:layer=conv4, repeat=2, fraction=0.9, accuracy=0.06102
EXPT:layer=conv4, repeat=3, fraction=0.9, accuracy=0.07978
EXPT:layer=conv4, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=conv4, repeat=2, fraction=1.0, accuracy=0.005
EXPT:layer=conv4, repeat=3, fraction=1.0, accuracy=0.005
EXPT:layer=conv5, repeat=1, fraction=0.0, accuracy=0.79072
EXPT:layer=conv5, repeat=2, fraction=0.0, accuracy=0.79072
EXPT:layer=conv5, repeat=3, fraction=0.0, accuracy=0.79072
EXPT:layer=conv5, repeat=1, fraction=0.1, accuracy=0.7717
EXPT:layer=conv5, repeat=2, fraction=0.1, accuracy=0.77338
EXPT:layer=conv5, repeat=3, fraction=0.1, accuracy=0.77342
EXPT:layer=conv5, repeat=1, fraction=0.2, accuracy=0.75022
EXPT:layer=conv5, repeat=2, fraction=0.2, accuracy=0.74312
EXPT:layer=conv5, repeat=3, fraction=0.2, accuracy=0.74802
EXPT:layer=conv5, repeat=1, fraction=0.3, accuracy=0.70962
EXPT:layer=conv5, repeat=2, fraction=0.3, accuracy=0.7202
EXPT:layer=conv5, repeat=3, fraction=0.3, accuracy=0.73202
EXPT:layer=conv5, repeat=1, fraction=0.4, accuracy=0.67194
EXPT:layer=conv5, repeat=2, fraction=0.4, accuracy=0.69324
EXPT:layer=conv5, repeat=3, fraction=0.4, accuracy=0.67982
EXPT:layer=conv5, repeat=1, fraction=0.5, accuracy=0.59216
EXPT:layer=conv5, repeat=2, fraction=0.5, accuracy=0.60358
EXPT:layer=conv5, repeat=3, fraction=0.5, accuracy=0.62394
EXPT:layer=conv5, repeat=1, fraction=0.6, accuracy=0.54114
EXPT:layer=conv5, repeat=2, fraction=0.6, accuracy=0.55358
EXPT:layer=conv5, repeat=3, fraction=0.6, accuracy=0.55294
EXPT:layer=conv5, repeat=1, fraction=0.7, accuracy=0.4258
EXPT:layer=conv5, repeat=2, fraction=0.7, accuracy=0.43016
EXPT:layer=conv5, repeat=3, fraction=0.7, accuracy=0.42238
EXPT:layer=conv5, repeat=1, fraction=0.8, accuracy=0.23454
EXPT:layer=conv5, repeat=2, fraction=0.8, accuracy=0.24746
EXPT:layer=conv5, repeat=3, fraction=0.8, accuracy=0.28612
EXPT:layer=conv5, repeat=1, fraction=0.9, accuracy=0.11816
EXPT:layer=conv5, repeat=2, fraction=0.9, accuracy=0.09928
EXPT:layer=conv5, repeat=3, fraction=0.9, accuracy=0.10916
EXPT:layer=conv5, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=conv5, repeat=2, fraction=1.0, accuracy=0.005
EXPT:layer=conv5, repeat=3, fraction=1.0, accuracy=0.005
EXPT:layer=dense1, repeat=1, fraction=0.0, accuracy=0.7907
EXPT:layer=dense1, repeat=2, fraction=0.0, accuracy=0.79072
EXPT:layer=dense1, repeat=3, fraction=0.0, accuracy=0.79072
EXPT:layer=dense1, repeat=1, fraction=0.1, accuracy=0.79024
EXPT:layer=dense1, repeat=2, fraction=0.1, accuracy=0.78938
EXPT:layer=dense1, repeat=3, fraction=0.1, accuracy=0.78918
EXPT:layer=dense1, repeat=1, fraction=0.2, accuracy=0.78826
EXPT:layer=dense1, repeat=2, fraction=0.2, accuracy=0.78674
EXPT:layer=dense1, repeat=3, fraction=0.2, accuracy=0.78582
EXPT:layer=dense1, repeat=1, fraction=0.3, accuracy=0.78524
EXPT:layer=dense1, repeat=2, fraction=0.3, accuracy=0.78368
EXPT:layer=dense1, repeat=3, fraction=0.3, accuracy=0.7853
EXPT:layer=dense1, repeat=1, fraction=0.4, accuracy=0.78198
EXPT:layer=dense1, repeat=2, fraction=0.4, accuracy=0.78048
EXPT:layer=dense1, repeat=3, fraction=0.4, accuracy=0.78044
EXPT:layer=dense1, repeat=1, fraction=0.5, accuracy=0.77532
EXPT:layer=dense1, repeat=2, fraction=0.5, accuracy=0.77544
EXPT:layer=dense1, repeat=3, fraction=0.5, accuracy=0.77474
EXPT:layer=dense1, repeat=1, fraction=0.6, accuracy=0.76492
EXPT:layer=dense1, repeat=2, fraction=0.6, accuracy=0.76736
EXPT:layer=dense1, repeat=3, fraction=0.6, accuracy=0.76706
EXPT:layer=dense1, repeat=1, fraction=0.7, accuracy=0.74998
EXPT:layer=dense1, repeat=2, fraction=0.7, accuracy=0.75306
EXPT:layer=dense1, repeat=3, fraction=0.7, accuracy=0.75086
EXPT:layer=dense1, repeat=1, fraction=0.8, accuracy=0.7204
EXPT:layer=dense1, repeat=2, fraction=0.8, accuracy=0.7182
EXPT:layer=dense1, repeat=3, fraction=0.8, accuracy=0.71724
EXPT:layer=dense1, repeat=1, fraction=0.9, accuracy=0.61386
EXPT:layer=dense1, repeat=2, fraction=0.9, accuracy=0.61104
EXPT:layer=dense1, repeat=3, fraction=0.9, accuracy=0.59984
EXPT:layer=dense1, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=dense1, repeat=2, fraction=1.0, accuracy=0.005
EXPT:layer=dense1, repeat=3, fraction=1.0, accuracy=0.005
EXPT:layer=dense2, repeat=1, fraction=0.0, accuracy=0.79072
EXPT:layer=dense2, repeat=2, fraction=0.0, accuracy=0.79072
EXPT:layer=dense2, repeat=3, fraction=0.0, accuracy=0.79072
EXPT:layer=dense2, repeat=1, fraction=0.1, accuracy=0.78156
EXPT:layer=dense2, repeat=2, fraction=0.1, accuracy=0.78164
EXPT:layer=dense2, repeat=3, fraction=0.1, accuracy=0.78178
EXPT:layer=dense2, repeat=1, fraction=0.2, accuracy=0.77174
EXPT:layer=dense2, repeat=2, fraction=0.2, accuracy=0.77372
EXPT:layer=dense2, repeat=3, fraction=0.2, accuracy=0.77214
EXPT:layer=dense2, repeat=1, fraction=0.3, accuracy=0.75634
EXPT:layer=dense2, repeat=2, fraction=0.3, accuracy=0.75798
EXPT:layer=dense2, repeat=3, fraction=0.3, accuracy=0.75886
EXPT:layer=dense2, repeat=1, fraction=0.4, accuracy=0.73738
EXPT:layer=dense2, repeat=2, fraction=0.4, accuracy=0.73646
EXPT:layer=dense2, repeat=3, fraction=0.4, accuracy=0.73912
EXPT:layer=dense2, repeat=1, fraction=0.5, accuracy=0.71068
EXPT:layer=dense2, repeat=2, fraction=0.5, accuracy=0.71176
EXPT:layer=dense2, repeat=3, fraction=0.5, accuracy=0.7122
EXPT:layer=dense2, repeat=1, fraction=0.6, accuracy=0.677
EXPT:layer=dense2, repeat=2, fraction=0.6, accuracy=0.6706
EXPT:layer=dense2, repeat=3, fraction=0.6, accuracy=0.67572
EXPT:layer=dense2, repeat=1, fraction=0.7, accuracy=0.61932
EXPT:layer=dense2, repeat=2, fraction=0.7, accuracy=0.613
EXPT:layer=dense2, repeat=3, fraction=0.7, accuracy=0.61488
EXPT:layer=dense2, repeat=1, fraction=0.8, accuracy=0.51738
EXPT:layer=dense2, repeat=2, fraction=0.8, accuracy=0.51454
EXPT:layer=dense2, repeat=3, fraction=0.8, accuracy=0.51574
EXPT:layer=dense2, repeat=1, fraction=0.9, accuracy=0.32578
EXPT:layer=dense2, repeat=2, fraction=0.9, accuracy=0.33698
EXPT:layer=dense2, repeat=3, fraction=0.9, accuracy=0.33076
EXPT:layer=dense2, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=dense2, repeat=2, fraction=1.0, accuracy=0.005
EXPT:layer=dense2, repeat=3, fraction=1.0, accuracy=0.005
EXPT:layer=dense3, repeat=1, fraction=0.0, accuracy=0.79072
EXPT:layer=dense3, repeat=2, fraction=0.0, accuracy=0.79072
EXPT:layer=dense3, repeat=3, fraction=0.0, accuracy=0.79072
EXPT:layer=dense3, repeat=1, fraction=0.1, accuracy=0.72116
EXPT:layer=dense3, repeat=2, fraction=0.1, accuracy=0.71984
EXPT:layer=dense3, repeat=3, fraction=0.1, accuracy=0.71928
EXPT:layer=dense3, repeat=1, fraction=0.2, accuracy=0.64672
EXPT:layer=dense3, repeat=2, fraction=0.2, accuracy=0.6484
EXPT:layer=dense3, repeat=3, fraction=0.2, accuracy=0.64944
EXPT:layer=dense3, repeat=1, fraction=0.3, accuracy=0.56986
EXPT:layer=dense3, repeat=2, fraction=0.3, accuracy=0.57482
EXPT:layer=dense3, repeat=3, fraction=0.3, accuracy=0.57332
EXPT:layer=dense3, repeat=1, fraction=0.4, accuracy=0.5011
EXPT:layer=dense3, repeat=2, fraction=0.4, accuracy=0.50382
EXPT:layer=dense3, repeat=3, fraction=0.4, accuracy=0.4949
EXPT:layer=dense3, repeat=1, fraction=0.5, accuracy=0.42572
EXPT:layer=dense3, repeat=2, fraction=0.5, accuracy=0.42468
EXPT:layer=dense3, repeat=3, fraction=0.5, accuracy=0.42292
EXPT:layer=dense3, repeat=1, fraction=0.6, accuracy=0.34376
EXPT:layer=dense3, repeat=2, fraction=0.6, accuracy=0.34436
EXPT:layer=dense3, repeat=3, fraction=0.6, accuracy=0.34538
EXPT:layer=dense3, repeat=1, fraction=0.7, accuracy=0.26564
EXPT:layer=dense3, repeat=2, fraction=0.7, accuracy=0.26304
EXPT:layer=dense3, repeat=3, fraction=0.7, accuracy=0.2661
EXPT:layer=dense3, repeat=1, fraction=0.8, accuracy=0.18064
EXPT:layer=dense3, repeat=2, fraction=0.8, accuracy=0.18278
EXPT:layer=dense3, repeat=3, fraction=0.8, accuracy=0.17964
EXPT:layer=dense3, repeat=1, fraction=0.9, accuracy=0.09394
EXPT:layer=dense3, repeat=2, fraction=0.9, accuracy=0.09426
EXPT:layer=dense3, repeat=3, fraction=0.9, accuracy=0.09388
EXPT:layer=dense3, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=dense3, repeat=2, fraction=1.0, accuracy=0.005
EXPT:layer=dense3, repeat=3, fraction=1.0, accuracy=0.005
