layer, level, fraction, repeat, accuracy
features.0, synapse, 0.0, 0, 0.7906999588012695
features.0, synapse, 0.0, 1, 0.7906999588012695
features.0, synapse, 0.0, 2, 0.7906999588012695
features.0, synapse, 0.1, 0, 0.6214599609375
features.0, synapse, 0.1, 1, 0.6507200002670288
features.0, synapse, 0.1, 2, 0.6865999698638916
features.0, synapse, 0.2, 0, 0.4248199760913849
features.0, synapse, 0.2, 1, 0.48014000058174133
features.0, synapse, 0.2, 2, 0.4893399775028229
features.0, synapse, 0.3, 0, 0.3481599986553192
features.0, synapse, 0.3, 1, 0.2286199927330017
features.0, synapse, 0.3, 2, 0.27028000354766846
features.0, synapse, 0.4, 0, 0.1883399933576584
features.0, synapse, 0.4, 1, 0.3114599883556366
features.0, synapse, 0.4, 2, 0.1256999969482422
features.0, synapse, 0.5, 0, 0.10357999801635742
features.0, synapse, 0.5, 1, 0.16929998993873596
features.0, synapse, 0.5, 2, 0.09177999943494797
features.0, synapse, 0.6, 0, 0.05593999847769737
features.0, synapse, 0.6, 1, 0.061879999935626984
features.0, synapse, 0.6, 2, 0.03879999741911888
features.0, synapse, 0.7, 0, 0.027139998972415924
features.0, synapse, 0.7, 1, 0.03133999928832054
features.0, synapse, 0.7, 2, 0.04327999800443649
features.0, synapse, 0.8, 0, 0.014399999752640724
features.0, synapse, 0.8, 1, 0.020679999142885208
features.0, synapse, 0.8, 2, 0.028939999639987946
features.0, synapse, 0.9, 0, 0.010739999823272228
features.0, synapse, 0.9, 1, 0.00989999994635582
features.0, synapse, 0.9, 2, 0.010439999401569366
features.0, synapse, 1.0, 0, 0.004999999888241291
features.0, synapse, 1.0, 1, 0.004999999888241291
features.0, synapse, 1.0, 2, 0.004999999888241291
features.0, node, 0.0, 0, 0.7906999588012695
features.0, node, 0.0, 1, 0.7906999588012695
features.0, node, 0.0, 2, 0.7906999588012695
features.0, node, 0.1, 0, 0.6688799858093262
features.0, node, 0.1, 1, 0.7163999676704407
features.0, node, 0.1, 2, 0.647059977054596
features.0, node, 0.2, 0, 0.5379999876022339
features.0, node, 0.2, 1, 0.324319988489151
features.0, node, 0.2, 2, 0.42725998163223267
features.0, node, 0.3, 0, 0.22143998742103577
features.0, node, 0.3, 1, 0.21781998872756958
features.0, node, 0.3, 2, 0.2942200005054474
features.0, node, 0.4, 0, 0.131740003824234
features.0, node, 0.4, 1, 0.09589999914169312
features.0, node, 0.4, 2, 0.17757999897003174
features.0, node, 0.5, 0, 0.1305599957704544
features.0, node, 0.5, 1, 0.05607999861240387
features.0, node, 0.5, 2, 0.17722000181674957
features.0, node, 0.6, 0, 0.03579999879002571
features.0, node, 0.6, 1, 0.060440000146627426
features.0, node, 0.6, 2, 0.031139999628067017
features.0, node, 0.7, 0, 0.04910000041127205
features.0, node, 0.7, 1, 0.026399999856948853
features.0, node, 0.7, 2, 0.04891999810934067
features.0, node, 0.8, 0, 0.020080000162124634
features.0, node, 0.8, 1, 0.013119999319314957
features.0, node, 0.8, 2, 0.01841999962925911
features.0, node, 0.9, 0, 0.009560000151395798
features.0, node, 0.9, 1, 0.008239999413490295
features.0, node, 0.9, 2, 0.008019999600946903
features.0, node, 1.0, 0, 0.004999999888241291
features.0, node, 1.0, 1, 0.004999999888241291
features.0, node, 1.0, 2, 0.004999999888241291
features.3, synapse, 0.0, 0, 0.7906999588012695
features.3, synapse, 0.0, 1, 0.7906999588012695
features.3, synapse, 0.0, 2, 0.7906999588012695
features.3, synapse, 0.1, 0, 0.7641199827194214
features.3, synapse, 0.1, 1, 0.7555999755859375
features.3, synapse, 0.1, 2, 0.7536999583244324
features.3, synapse, 0.2, 0, 0.6644799709320068
features.3, synapse, 0.2, 1, 0.7015199661254883
features.3, synapse, 0.2, 2, 0.7065799832344055
features.3, synapse, 0.3, 0, 0.5816999673843384
features.3, synapse, 0.3, 1, 0.5715999603271484
features.3, synapse, 0.3, 2, 0.6493799686431885
features.3, synapse, 0.4, 0, 0.4359799921512604
features.3, synapse, 0.4, 1, 0.30456000566482544
features.3, synapse, 0.4, 2, 0.5624399781227112
features.3, synapse, 0.5, 0, 0.1475600004196167
features.3, synapse, 0.5, 1, 0.21803998947143555
features.3, synapse, 0.5, 2, 0.3113600015640259
features.3, synapse, 0.6, 0, 0.23959998786449432
features.3, synapse, 0.6, 1, 0.07565999776124954
features.3, synapse, 0.6, 2, 0.08291999995708466
features.3, synapse, 0.7, 0, 0.048820000141859055
features.3, synapse, 0.7, 1, 0.03294000029563904
features.3, synapse, 0.7, 2, 0.0753600001335144
features.3, synapse, 0.8, 0, 0.025759998708963394
features.3, synapse, 0.8, 1, 0.021639999002218246
features.3, synapse, 0.8, 2, 0.022259999066591263
features.3, synapse, 0.9, 0, 0.010979999788105488
features.3, synapse, 0.9, 1, 0.013700000010430813
features.3, synapse, 0.9, 2, 0.011659999378025532
