layer, level, fraction, repeat, accuracy
features.2, node, 0.3, 2, 0.663599967956543
features.2, node, 0.4, 0, 0.7216999530792236
features.2, node, 0.4, 1, 0.7009999752044678
features.2, node, 0.4, 2, 0.7087999582290649
features.2, node, 0.5, 0, 0.7013999819755554
features.2, node, 0.5, 1, 0.6108999848365784
features.2, node, 0.5, 2, 0.6417999863624573
features.2, node, 0.6, 0, 0.46639999747276306
features.2, node, 0.6, 1, 0.5613999962806702
features.2, node, 0.6, 2, 0.3822999894618988
features.2, node, 0.7, 0, 0.46219998598098755
features.2, node, 0.7, 1, 0.31129997968673706
features.2, node, 0.7, 2, 0.5049999952316284
features.2, node, 0.8, 0, 0.19029998779296875
features.2, node, 0.8, 1, 0.6732999682426453
features.2, node, 0.8, 2, 0.38609999418258667
features.2, node, 0.9, 0, 0.3667999804019928
features.2, node, 0.9, 1, 0.6093999743461609
features.2, node, 0.9, 2, 0.3893999755382538
features.2, node, 1.0, 0, 0.04999999701976776
features.2, node, 1.0, 1, 0.04999999701976776
features.2, node, 1.0, 2, 0.04999999701976776
features.5, synapse, 0.0, 0, 0.7193999886512756
features.5, synapse, 0.0, 1, 0.7193999886512756
features.5, synapse, 0.0, 2, 0.7193999886512756
features.5, synapse, 0.1, 0, 0.7181999683380127
features.5, synapse, 0.1, 1, 0.7199999690055847
features.5, synapse, 0.1, 2, 0.7179999947547913
features.5, synapse, 0.2, 0, 0.7098999619483948
features.5, synapse, 0.2, 1, 0.7095999717712402
features.5, synapse, 0.2, 2, 0.7148000001907349
features.5, synapse, 0.3, 0, 0.7105000019073486
features.5, synapse, 0.3, 1, 0.712399959564209
features.5, synapse, 0.3, 2, 0.6941999793052673
features.5, synapse, 0.4, 0, 0.7087999582290649
features.5, synapse, 0.4, 1, 0.6462000012397766
features.5, synapse, 0.4, 2, 0.7028999924659729
features.5, synapse, 0.5, 0, 0.6882999539375305
features.5, synapse, 0.5, 1, 0.6025999784469604
features.5, synapse, 0.5, 2, 0.6899999976158142
features.5, synapse, 0.6, 0, 0.6827999949455261
features.5, synapse, 0.6, 1, 0.6570999622344971
features.5, synapse, 0.6, 2, 0.5180999636650085
features.5, synapse, 0.7, 0, 0.6435999870300293
features.5, synapse, 0.7, 1, 0.5591999888420105
features.5, synapse, 0.7, 2, 0.5011000037193298
features.5, synapse, 0.8, 0, 0.3856000006198883
features.5, synapse, 0.8, 1, 0.4351999759674072
features.5, synapse, 0.8, 2, 0.4821999967098236
features.5, synapse, 0.9, 0, 0.14409999549388885
features.5, synapse, 0.9, 1, 0.17159999907016754
features.5, synapse, 0.9, 2, 0.22499999403953552
features.5, synapse, 1.0, 0, 0.04999999701976776
features.5, synapse, 1.0, 1, 0.04999999701976776
features.5, synapse, 1.0, 2, 0.04999999701976776
features.5, node, 0.0, 0, 0.7193999886512756
features.5, node, 0.0, 1, 0.7193999886512756
features.5, node, 0.0, 2, 0.7193999886512756
features.5, node, 0.1, 0, 0.7238999605178833
features.5, node, 0.1, 1, 0.7145999670028687
features.5, node, 0.1, 2, 0.7192999720573425
features.5, node, 0.2, 0, 0.5845999717712402
features.5, node, 0.2, 1, 0.7190999984741211
features.5, node, 0.2, 2, 0.7215999960899353
features.5, node, 0.3, 0, 0.6990000009536743
features.5, node, 0.3, 1, 0.6293999552726746
features.5, node, 0.3, 2, 0.6366999745368958
features.5, node, 0.4, 0, 0.6836000084877014
features.5, node, 0.4, 1, 0.6367999911308289
features.5, node, 0.4, 2, 0.6678000092506409
features.5, node, 0.5, 0, 0.6466999650001526
features.5, node, 0.5, 1, 0.7181999683380127
features.5, node, 0.5, 2, 0.7197999954223633
features.5, node, 0.6, 0, 0.682699978351593
features.5, node, 0.6, 1, 0.486299991607666
features.5, node, 0.6, 2, 0.5364999771118164
features.5, node, 0.7, 0, 0.6857999563217163
features.5, node, 0.7, 1, 0.5981999635696411
features.5, node, 0.7, 2, 0.28669998049736023
features.5, node, 0.8, 0, 0.07750000059604645
features.5, node, 0.8, 1, 0.5002999901771545
features.5, node, 0.8, 2, 0.11169999837875366
features.5, node, 0.9, 0, 0.19049999117851257
features.5, node, 0.9, 1, 0.06319999694824219
features.5, node, 0.9, 2, 0.11069999635219574
features.5, node, 1.0, 0, 0.04999999701976776
features.5, node, 1.0, 1, 0.04999999701976776
features.5, node, 1.0, 2, 0.04999999701976776
features.7, synapse, 0.0, 0, 0.7193999886512756
features.7, synapse, 0.0, 1, 0.7193999886512756
features.7, synapse, 0.0, 2, 0.7193999886512756
features.7, synapse, 0.1, 0, 0.7141000032424927
features.7, synapse, 0.1, 1, 0.7181999683380127
features.7, synapse, 0.1, 2, 0.7008000016212463
features.7, synapse, 0.2, 0, 0.6906999945640564
features.7, synapse, 0.2, 1, 0.7185999751091003
features.7, synapse, 0.2, 2, 0.7188000082969666
features.7, synapse, 0.3, 0, 0.689799964427948
features.7, synapse, 0.3, 1, 0.7163999676704407
features.7, synapse, 0.3, 2, 0.7073000073432922
features.7, synapse, 0.4, 0, 0.6973999738693237
features.7, synapse, 0.4, 1, 0.6794999837875366
features.7, synapse, 0.4, 2, 0.7102999687194824
features.7, synapse, 0.5, 0, 0.6717000007629395
features.7, synapse, 0.5, 1, 0.6947000026702881
features.7, synapse, 0.5, 2, 0.6171000003814697
features.7, synapse, 0.6, 0, 0.673799991607666
features.7, synapse, 0.6, 1, 0.6632999777793884
features.7, synapse, 0.6, 2, 0.6776999831199646
features.7, synapse, 0.7, 0, 0.48159998655319214
features.7, synapse, 0.7, 1, 0.500499963760376
features.7, synapse, 0.7, 2, 0.6205999851226807
features.7, synapse, 0.8, 0, 0.4781000018119812
features.7, synapse, 0.8, 1, 0.5194999575614929
features.7, synapse, 0.8, 2, 0.5446000099182129
features.7, synapse, 0.9, 0, 0.4315999746322632
features.7, synapse, 0.9, 1, 0.2199999988079071
features.7, synapse, 0.9, 2, 0.24079999327659607
features.7, synapse, 1.0, 0, 0.04999999701976776
features.7, synapse, 1.0, 1, 0.04999999701976776
features.7, synapse, 1.0, 2, 0.04999999701976776
features.7, node, 0.0, 0, 0.7193999886512756
features.7, node, 0.0, 1, 0.7193999886512756
features.7, node, 0.0, 2, 0.7193999886512756
features.7, node, 0.1, 0, 0.7159000039100647
features.7, node, 0.1, 1, 0.7198999524116516
features.7, node, 0.1, 2, 0.7188999652862549
features.7, node, 0.2, 0, 0.7175999879837036
features.7, node, 0.2, 1, 0.70660001039505
features.7, node, 0.2, 2, 0.6780999898910522
features.7, node, 0.3, 0, 0.7106999754905701
features.7, node, 0.3, 1, 0.6589999794960022
features.7, node, 0.3, 2, 0.7184000015258789
features.7, node, 0.4, 0, 0.6241999864578247
features.7, node, 0.4, 1, 0.6881999969482422
features.7, node, 0.4, 2, 0.6577999591827393
features.7, node, 0.5, 0, 0.6765999794006348
features.7, node, 0.5, 1, 0.5722999572753906
features.7, node, 0.5, 2, 0.7152999639511108
features.7, node, 0.6, 0, 0.6441999673843384
features.7, node, 0.6, 1, 0.2912999987602234
features.7, node, 0.6, 2, 0.5787000060081482
features.7, node, 0.7, 0, 0.4332999885082245
features.7, node, 0.7, 1, 0.471699982881546
features.7, node, 0.7, 2, 0.630299985408783
features.7, node, 0.8, 0, 0.46609997749328613
features.7, node, 0.8, 1, 0.37059998512268066
features.7, node, 0.8, 2, 0.5717999935150146
features.7, node, 0.9, 0, 0.20409999787807465
features.7, node, 0.9, 1, 0.2094999998807907
features.7, node, 0.9, 2, 0.04999999701976776
features.7, node, 1.0, 0, 0.04999999701976776
features.7, node, 1.0, 1, 0.04999999701976776
features.7, node, 1.0, 2, 0.04999999701976776
features.10, synapse, 0.0, 0, 0.7193999886512756
features.10, synapse, 0.0, 1, 0.7193999886512756
features.10, synapse, 0.0, 2, 0.7193999886512756
features.10, synapse, 0.1, 0, 0.7173999547958374
features.10, synapse, 0.1, 1, 0.7173999547958374
features.10, synapse, 0.1, 2, 0.7184999585151672
features.10, synapse, 0.2, 0, 0.7188999652862549
features.10, synapse, 0.2, 1, 0.7105000019073486
features.10, synapse, 0.2, 2, 0.718999981880188
features.10, synapse, 0.3, 0, 0.6894999742507935
features.10, synapse, 0.3, 1, 0.7152000069618225
features.10, synapse, 0.3, 2, 0.7120999693870544
features.10, synapse, 0.4, 0, 0.6890999674797058
features.10, synapse, 0.4, 1, 0.7077999711036682
features.10, synapse, 0.4, 2, 0.6924999952316284
features.10, synapse, 0.5, 0, 0.6449999809265137
features.10, synapse, 0.5, 1, 0.6753000020980835
features.10, synapse, 0.5, 2, 0.6949999928474426
features.10, synapse, 0.6, 0, 0.585599958896637
features.10, synapse, 0.6, 1, 0.5899999737739563
features.10, synapse, 0.6, 2, 0.6464999914169312
features.10, synapse, 0.7, 0, 0.5504999756813049
features.10, synapse, 0.7, 1, 0.5866000056266785
features.10, synapse, 0.7, 2, 0.5192999839782715
features.10, synapse, 0.8, 0, 0.3653999865055084
features.10, synapse, 0.8, 1, 0.3831999897956848
features.10, synapse, 0.8, 2, 0.43619999289512634
features.10, synapse, 0.9, 0, 0.1589999943971634
features.10, synapse, 0.9, 1, 0.18799999356269836
features.10, synapse, 0.9, 2, 0.20080000162124634
features.10, synapse, 1.0, 0, 0.04999999701976776
features.10, synapse, 1.0, 1, 0.04999999701976776
features.10, synapse, 1.0, 2, 0.04999999701976776
features.10, node, 0.0, 0, 0.7193999886512756
features.10, node, 0.0, 1, 0.7193999886512756
features.10, node, 0.0, 2, 0.7193999886512756
features.10, node, 0.1, 0, 0.7217999696731567
features.10, node, 0.1, 1, 0.7175999879837036
features.10, node, 0.1, 2, 0.7210999727249146
features.10, node, 0.2, 0, 0.7213000059127808
features.10, node, 0.2, 1, 0.7196999788284302
features.10, node, 0.2, 2, 0.7184999585151672
features.10, node, 0.3, 0, 0.7182999849319458
features.10, node, 0.3, 1, 0.6966999769210815
features.10, node, 0.3, 2, 0.7015999555587769
features.10, node, 0.4, 0, 0.6955999732017517
features.10, node, 0.4, 1, 0.6979999542236328
features.10, node, 0.4, 2, 0.6931999921798706
features.10, node, 0.5, 0, 0.6402999758720398
features.10, node, 0.5, 1, 0.6902999877929688
features.10, node, 0.5, 2, 0.671999990940094
features.10, node, 0.6, 0, 0.6291999816894531
features.10, node, 0.6, 1, 0.5512999892234802
features.10, node, 0.6, 2, 0.6474999785423279
features.10, node, 0.7, 0, 0.6649999618530273
features.10, node, 0.7, 1, 0.4714999794960022
features.10, node, 0.7, 2, 0.5751000046730042
features.10, node, 0.8, 0, 0.373199999332428
features.10, node, 0.8, 1, 0.2556999921798706
features.10, node, 0.8, 2, 0.5586000084877014
features.10, node, 0.9, 0, 0.15529999136924744
features.10, node, 0.9, 1, 0.1265999972820282
features.10, node, 0.9, 2, 0.4746999740600586
features.10, node, 1.0, 0, 0.04999999701976776
features.10, node, 1.0, 1, 0.04999999701976776
features.10, node, 1.0, 2, 0.04999999701976776
features.12, synapse, 0.0, 0, 0.7193999886512756
features.12, synapse, 0.0, 1, 0.7193999886512756
features.12, synapse, 0.0, 2, 0.7193999886512756
features.12, synapse, 0.1, 0, 0.7202999591827393
features.12, synapse, 0.1, 1, 0.7186999917030334
features.12, synapse, 0.1, 2, 0.7221999764442444
features.12, synapse, 0.2, 0, 0.7177000045776367
features.12, synapse, 0.2, 1, 0.715399980545044
features.12, synapse, 0.2, 2, 0.7193999886512756
features.12, synapse, 0.3, 0, 0.710599958896637
features.12, synapse, 0.3, 1, 0.7129999995231628
features.12, synapse, 0.3, 2, 0.7123000025749207
features.12, synapse, 0.4, 0, 0.7039999961853027
features.12, synapse, 0.4, 1, 0.7060999870300293
features.12, synapse, 0.4, 2, 0.7091000080108643
features.12, synapse, 0.5, 0, 0.6933000087738037
features.12, synapse, 0.5, 1, 0.699999988079071
