layer, level, fraction, repeat, accuracy
conv1-1, synapse, 0.0, 0, 0.9038199782371521
conv1-1, synapse, 0.1, 0, 0.8481400012969971
conv1-1, synapse, 0.2, 0, 0.8146399855613708
conv1-1, synapse, 0.3, 0, 0.5570200085639954
conv1-1, synapse, 0.4, 0, 0.3530399799346924
conv1-1, synapse, 0.5, 0, 0.43347999453544617
conv1-1, synapse, 0.6, 0, 0.13741999864578247
conv1-1, synapse, 0.7, 0, 0.19951999187469482
conv1-1, synapse, 0.8, 0, 0.08475999534130096
conv1-1, synapse, 0.9, 0, 0.021539999172091484
conv1-1, synapse, 1.0, 0, 0.004999999888241291
conv1-1, node, 0.0, 0, 0.9038199782371521
conv1-1, node, 0.1, 0, 0.8736000061035156
conv1-1, node, 0.2, 0, 0.7355599999427795
conv1-1, node, 0.3, 0, 0.8298400044441223
conv1-1, node, 0.4, 0, 0.6312400102615356
conv1-1, node, 0.5, 0, 0.7289999723434448
conv1-1, node, 0.6, 0, 0.3626999855041504
conv1-1, node, 0.7, 0, 0.4749400019645691
conv1-1, node, 0.8, 0, 0.22383999824523926
conv1-1, node, 0.9, 0, 0.029360000044107437
conv1-1, node, 1.0, 0, 0.004999999888241291
conv1-2, synapse, 0.0, 0, 0.9038199782371521
conv1-2, synapse, 0.1, 0, 0.8961600065231323
conv1-2, synapse, 0.2, 0, 0.8933799862861633
conv1-2, synapse, 0.3, 0, 0.8726199865341187
conv1-2, synapse, 0.4, 0, 0.8690199851989746
conv1-2, synapse, 0.5, 0, 0.8697999715805054
conv1-2, synapse, 0.6, 0, 0.7913599610328674
conv1-2, synapse, 0.7, 0, 0.7455399632453918
conv1-2, synapse, 0.8, 0, 0.48065999150276184
conv1-2, synapse, 0.9, 0, 0.07397999614477158
conv1-2, synapse, 1.0, 0, 0.004999999888241291
conv1-2, node, 0.0, 0, 0.9038199782371521
conv1-2, node, 0.1, 0, 0.8890199661254883
conv1-2, node, 0.2, 0, 0.865619957447052
conv1-2, node, 0.3, 0, 0.7717799544334412
conv1-2, node, 0.4, 0, 0.60725998878479
conv1-2, node, 0.5, 0, 0.5976600050926208
conv1-2, node, 0.6, 0, 0.6253199577331543
conv1-2, node, 0.7, 0, 0.4306199848651886
conv1-2, node, 0.8, 0, 0.04017999768257141
conv1-2, node, 0.9, 0, 0.015540000051259995
conv1-2, node, 1.0, 0, 0.004999999888241291
conv2-1, synapse, 0.0, 0, 0.9038199782371521
conv2-1, synapse, 0.1, 0, 0.9002199769020081
conv2-1, synapse, 0.2, 0, 0.888759970664978
conv2-1, synapse, 0.3, 0, 0.8888199925422668
conv2-1, synapse, 0.4, 0, 0.8565599918365479
conv2-1, synapse, 0.5, 0, 0.8630599975585938
conv2-1, synapse, 0.6, 0, 0.7930399775505066
conv2-1, synapse, 0.7, 0, 0.6697199940681458
conv2-1, synapse, 0.8, 0, 0.3612000048160553
conv2-1, synapse, 0.9, 0, 0.18931999802589417
conv2-1, synapse, 1.0, 0, 0.004999999888241291
conv2-1, node, 0.0, 0, 0.9038199782371521
conv2-1, node, 0.1, 0, 0.8968999981880188
conv2-1, node, 0.2, 0, 0.8907999992370605
conv2-1, node, 0.3, 0, 0.8773599863052368
conv2-1, node, 0.4, 0, 0.8240599632263184
conv2-1, node, 0.5, 0, 0.813759982585907
conv2-1, node, 0.6, 0, 0.7789799571037292
conv2-1, node, 0.7, 0, 0.3816399872303009
conv2-1, node, 0.8, 0, 0.13905999064445496
conv2-1, node, 0.9, 0, 0.053519997745752335
conv2-1, node, 1.0, 0, 0.004999999888241291
conv2-2, synapse, 0.0, 0, 0.9038199782371521
conv2-2, synapse, 0.1, 0, 0.9013599753379822
conv2-2, synapse, 0.2, 0, 0.899399995803833
conv2-2, synapse, 0.3, 0, 0.8914999961853027
conv2-2, synapse, 0.4, 0, 0.8654800057411194
conv2-2, synapse, 0.5, 0, 0.8644199967384338
conv2-2, synapse, 0.6, 0, 0.7508800029754639
conv2-2, synapse, 0.7, 0, 0.6151799559593201
conv2-2, synapse, 0.8, 0, 0.14788000285625458
conv2-2, synapse, 0.9, 0, 0.08511999994516373
conv2-2, synapse, 1.0, 0, 0.004999999888241291
conv2-2, node, 0.0, 0, 0.9038199782371521
conv2-2, node, 0.1, 0, 0.8937399983406067
conv2-2, node, 0.2, 0, 0.8442399501800537
conv2-2, node, 0.3, 0, 0.8375200033187866
conv2-2, node, 0.4, 0, 0.7655400037765503
conv2-2, node, 0.5, 0, 0.36820000410079956
conv2-2, node, 0.6, 0, 0.5043599605560303
conv2-2, node, 0.7, 0, 0.08653999865055084
conv2-2, node, 0.8, 0, 0.127020001411438
conv2-2, node, 0.9, 0, 0.024979999288916588
conv2-2, node, 1.0, 0, 0.004999999888241291
conv3-1, synapse, 0.0, 0, 0.9038199782371521
conv3-1, synapse, 0.1, 0, 0.9023199677467346
conv3-1, synapse, 0.2, 0, 0.8990199565887451
conv3-1, synapse, 0.3, 0, 0.8955599665641785
conv3-1, synapse, 0.4, 0, 0.8912999629974365
conv3-1, synapse, 0.5, 0, 0.8813599944114685
conv3-1, synapse, 0.6, 0, 0.8500799536705017
conv3-1, synapse, 0.7, 0, 0.8373399972915649
conv3-1, synapse, 0.8, 0, 0.5706799626350403
conv3-1, synapse, 0.9, 0, 0.23797999322414398
conv3-1, synapse, 1.0, 0, 0.004999999888241291
conv3-1, node, 0.0, 0, 0.9038199782371521
conv3-1, node, 0.1, 0, 0.8954799771308899
conv3-1, node, 0.2, 0, 0.890779972076416
conv3-1, node, 0.3, 0, 0.863319993019104
conv3-1, node, 0.4, 0, 0.8387599587440491
conv3-1, node, 0.5, 0, 0.804639995098114
conv3-1, node, 0.6, 0, 0.6542999744415283
conv3-1, node, 0.7, 0, 0.5387600064277649
conv3-1, node, 0.8, 0, 0.061879999935626984
conv3-1, node, 0.9, 0, 0.017419999465346336
conv3-1, node, 1.0, 0, 0.004999999888241291
conv3-2, synapse, 0.0, 0, 0.9038199782371521
conv3-2, synapse, 0.1, 0, 0.9019999504089355
conv3-2, synapse, 0.2, 0, 0.9002799987792969
conv3-2, synapse, 0.3, 0, 0.8980799913406372
conv3-2, synapse, 0.4, 0, 0.8923599720001221
conv3-2, synapse, 0.5, 0, 0.882379949092865
conv3-2, synapse, 0.6, 0, 0.8682799935340881
conv3-2, synapse, 0.7, 0, 0.8227399587631226
conv3-2, synapse, 0.8, 0, 0.730679988861084
conv3-2, synapse, 0.9, 0, 0.12505999207496643
conv3-2, synapse, 1.0, 0, 0.004999999888241291
conv3-2, node, 0.0, 0, 0.9038199782371521
conv3-2, node, 0.1, 0, 0.8937599658966064
conv3-2, node, 0.2, 0, 0.8929199576377869
conv3-2, node, 0.3, 0, 0.8587200045585632
conv3-2, node, 0.4, 0, 0.8175999522209167
conv3-2, node, 0.5, 0, 0.615619957447052
conv3-2, node, 0.6, 0, 0.6666600108146667
conv3-2, node, 0.7, 0, 0.23359999060630798
conv3-2, node, 0.8, 0, 0.21806000173091888
conv3-2, node, 0.9, 0, 0.03689999878406525
conv3-2, node, 1.0, 0, 0.004999999888241291
conv3-3, synapse, 0.0, 0, 0.9038199782371521
conv3-3, synapse, 0.1, 0, 0.9020199775695801
conv3-3, synapse, 0.2, 0, 0.8956999778747559
conv3-3, synapse, 0.3, 0, 0.8978999853134155
conv3-3, synapse, 0.4, 0, 0.8931999802589417
conv3-3, synapse, 0.5, 0, 0.877240002155304
conv3-3, synapse, 0.6, 0, 0.8576399683952332
conv3-3, synapse, 0.7, 0, 0.7948199510574341
conv3-3, synapse, 0.8, 0, 0.6060000061988831
conv3-3, synapse, 0.9, 0, 0.13964000344276428
conv3-3, synapse, 1.0, 0, 0.004999999888241291
conv3-3, node, 0.0, 0, 0.9038199782371521
conv3-3, node, 0.1, 0, 0.8891199827194214
conv3-3, node, 0.2, 0, 0.8659999966621399
conv3-3, node, 0.3, 0, 0.8215999603271484
conv3-3, node, 0.4, 0, 0.7833399772644043
conv3-3, node, 0.5, 0, 0.7080000042915344
conv3-3, node, 0.6, 0, 0.3402799963951111
conv3-3, node, 0.7, 0, 0.2602599859237671
conv3-3, node, 0.8, 0, 0.06551999598741531
conv3-3, node, 0.9, 0, 0.03681999817490578
conv3-3, node, 1.0, 0, 0.004999999888241291
conv4-1, synapse, 0.0, 0, 0.9038199782371521
conv4-1, synapse, 0.1, 0, 0.9026399850845337
conv4-1, synapse, 0.2, 0, 0.8988999724388123
