layer, level, fraction, repeat, accuracy
features.0, synapse, 0.0, 0, 0.7120000123977661
features.0, synapse, 0.0, 1, 0.7120000123977661
features.0, synapse, 0.0, 2, 0.7120000123977661
features.0, synapse, 0.1, 0, 0.49800002574920654
features.0, synapse, 0.1, 1, 0.64000004529953
features.0, synapse, 0.1, 2, 0.6300000548362732
features.0, synapse, 0.2, 0, 0.5560000538825989
features.0, synapse, 0.2, 1, 0.5520000457763672
features.0, synapse, 0.2, 2, 0.6000000238418579
features.0, synapse, 0.3, 0, 0.46000000834465027
features.0, synapse, 0.3, 1, 0.406000018119812
features.0, synapse, 0.3, 2, 0.5220000147819519
features.0, synapse, 0.4, 0, 0.5139999985694885
features.0, synapse, 0.4, 1, 0.36400002241134644
features.0, synapse, 0.4, 2, 0.40800002217292786
features.0, synapse, 0.5, 0, 0.31800001859664917
features.0, synapse, 0.5, 1, 0.39000001549720764
features.0, synapse, 0.5, 2, 0.4740000367164612
features.0, synapse, 0.6, 0, 0.2980000078678131
features.0, synapse, 0.6, 1, 0.3660000264644623
features.0, synapse, 0.6, 2, 0.32600000500679016
features.0, synapse, 0.7, 0, 0.25
features.0, synapse, 0.7, 1, 0.23800000548362732
features.0, synapse, 0.7, 2, 0.29600000381469727
features.0, synapse, 0.8, 0, 0.2200000137090683
features.0, synapse, 0.8, 1, 0.2200000137090683
features.0, synapse, 0.8, 2, 0.18000000715255737
features.0, synapse, 0.9, 0, 0.14000000059604645
features.0, synapse, 0.9, 1, 0.12000000476837158
features.0, synapse, 0.9, 2, 0.24400001764297485
features.0, synapse, 1.0, 0, 0.10000000149011612
features.0, synapse, 1.0, 1, 0.10000000149011612
features.0, synapse, 1.0, 2, 0.10000000149011612
features.0, node, 0.0, 0, 0.7120000123977661
features.0, node, 0.0, 1, 0.7120000123977661
features.0, node, 0.0, 2, 0.7120000123977661
features.0, node, 0.1, 0, 0.628000020980835
features.0, node, 0.1, 1, 0.628000020980835
features.0, node, 0.1, 2, 0.2900000214576721
features.0, node, 0.2, 0, 0.5879999995231628
features.0, node, 0.2, 1, 0.47600001096725464
features.0, node, 0.2, 2, 0.49400001764297485
features.0, node, 0.3, 0, 0.4960000216960907
features.0, node, 0.3, 1, 0.4960000216960907
features.0, node, 0.3, 2, 0.5460000038146973
features.0, node, 0.4, 0, 0.3160000145435333
features.0, node, 0.4, 1, 0.5139999985694885
features.0, node, 0.4, 2, 0.3540000021457672
features.0, node, 0.5, 0, 0.406000018119812
features.0, node, 0.5, 1, 0.3160000145435333
features.0, node, 0.5, 2, 0.164000004529953
features.0, node, 0.6, 0, 0.320000022649765
features.0, node, 0.6, 1, 0.24800001084804535
features.0, node, 0.6, 2, 0.23400001227855682
features.0, node, 0.7, 0, 0.20600001513957977
features.0, node, 0.7, 1, 0.20600001513957977
features.0, node, 0.7, 2, 0.27400001883506775
features.0, node, 0.8, 0, 0.20400001108646393
features.0, node, 0.8, 1, 0.18000000715255737
features.0, node, 0.8, 2, 0.1300000101327896
features.0, node, 0.9, 0, 0.12200000882148743
features.0, node, 0.9, 1, 0.11000000685453415
features.0, node, 0.9, 2, 0.1420000046491623
features.0, node, 1.0, 0, 0.10000000149011612
features.0, node, 1.0, 1, 0.10000000149011612
features.0, node, 1.0, 2, 0.10000000149011612
features.3, synapse, 0.0, 0, 0.7120000123977661
features.3, synapse, 0.0, 1, 0.7120000123977661
features.3, synapse, 0.0, 2, 0.7120000123977661
features.3, synapse, 0.1, 0, 0.7100000381469727
features.3, synapse, 0.1, 1, 0.6740000247955322
features.3, synapse, 0.1, 2, 0.6960000395774841
features.3, synapse, 0.2, 0, 0.5960000157356262
features.3, synapse, 0.2, 1, 0.6740000247955322
features.3, synapse, 0.2, 2, 0.6640000343322754
features.3, synapse, 0.3, 0, 0.5320000052452087
features.3, synapse, 0.3, 1, 0.6740000247955322
features.3, synapse, 0.3, 2, 0.6140000224113464
features.3, synapse, 0.4, 0, 0.5820000171661377
features.3, synapse, 0.4, 1, 0.5860000252723694
features.3, synapse, 0.4, 2, 0.6420000195503235
features.3, synapse, 0.5, 0, 0.49800002574920654
features.3, synapse, 0.5, 1, 0.527999997138977
features.3, synapse, 0.5, 2, 0.3620000183582306
features.3, synapse, 0.6, 0, 0.44200003147125244
features.3, synapse, 0.6, 1, 0.19600000977516174
features.3, synapse, 0.6, 2, 0.5200000405311584
features.3, synapse, 0.7, 0, 0.42000001668930054
features.3, synapse, 0.7, 1, 0.3500000238418579
features.3, synapse, 0.7, 2, 0.4020000100135803
features.3, synapse, 0.8, 0, 0.28600001335144043
features.3, synapse, 0.8, 1, 0.33000001311302185
features.3, synapse, 0.8, 2, 0.3140000104904175
features.3, synapse, 0.9, 0, 0.15000000596046448
features.3, synapse, 0.9, 1, 0.18400001525878906
features.3, synapse, 0.9, 2, 0.1940000057220459
features.3, synapse, 1.0, 0, 0.10000000149011612
features.3, synapse, 1.0, 1, 0.10000000149011612
features.3, synapse, 1.0, 2, 0.10000000149011612
features.3, node, 0.0, 0, 0.7120000123977661
features.3, node, 0.0, 1, 0.7120000123977661
features.3, node, 0.0, 2, 0.7120000123977661
features.3, node, 0.1, 0, 0.6160000562667847
features.3, node, 0.1, 1, 0.4960000216960907
features.3, node, 0.1, 2, 0.5360000133514404
features.3, node, 0.2, 0, 0.5960000157356262
features.3, node, 0.2, 1, 0.550000011920929
features.3, node, 0.2, 2, 0.4820000231266022
features.3, node, 0.3, 0, 0.36000001430511475
features.3, node, 0.3, 1, 0.44600000977516174
features.3, node, 0.3, 2, 0.24400001764297485
features.3, node, 0.4, 0, 0.3800000250339508
features.3, node, 0.4, 1, 0.4620000123977661
features.3, node, 0.4, 2, 0.2840000092983246
features.3, node, 0.5, 0, 0.31800001859664917
features.3, node, 0.5, 1, 0.33800002932548523
features.3, node, 0.5, 2, 0.3140000104904175
features.3, node, 0.6, 0, 0.25
features.3, node, 0.6, 1, 0.29200002551078796
features.3, node, 0.6, 2, 0.3400000035762787
features.3, node, 0.7, 0, 0.2800000011920929
features.3, node, 0.7, 1, 0.17600001394748688
features.3, node, 0.7, 2, 0.1120000034570694
features.3, node, 0.8, 0, 0.12800000607967377
features.3, node, 0.8, 1, 0.10600000619888306
features.3, node, 0.8, 2, 0.13199999928474426
features.3, node, 0.9, 0, 0.20000000298023224
features.3, node, 0.9, 1, 0.15400001406669617
features.3, node, 0.9, 2, 0.15400001406669617
features.3, node, 1.0, 0, 0.10000000149011612
features.3, node, 1.0, 1, 0.10000000149011612
features.3, node, 1.0, 2, 0.10000000149011612
features.6, synapse, 0.0, 0, 0.7120000123977661
features.6, synapse, 0.0, 1, 0.7120000123977661
features.6, synapse, 0.0, 2, 0.7120000123977661
features.6, synapse, 0.1, 0, 0.6820000410079956
features.6, synapse, 0.1, 1, 0.690000057220459
features.6, synapse, 0.1, 2, 0.6520000100135803
features.6, synapse, 0.2, 0, 0.6600000262260437
features.6, synapse, 0.2, 1, 0.64000004529953
features.6, synapse, 0.2, 2, 0.7280000448226929
features.6, synapse, 0.3, 0, 0.4880000352859497
features.6, synapse, 0.3, 1, 0.6300000548362732
features.6, synapse, 0.3, 2, 0.64000004529953
features.6, synapse, 0.4, 0, 0.6060000061988831
features.6, synapse, 0.4, 1, 0.6220000386238098
features.6, synapse, 0.4, 2, 0.6180000305175781
features.6, synapse, 0.5, 0, 0.5440000295639038
features.6, synapse, 0.5, 1, 0.5540000200271606
features.6, synapse, 0.5, 2, 0.6060000061988831
features.6, synapse, 0.6, 0, 0.534000039100647
