layer, level, fraction, repeat, accuracy
conv1-1, synapse, 0.0, 0, 0.9038199782371521
conv1-1, synapse, 0.1, 0, 0.8343600034713745
conv1-1, synapse, 0.2, 0, 0.6376799941062927
conv1-1, synapse, 0.3, 0, 0.5858799815177917
conv1-1, synapse, 0.4, 0, 0.593239963054657
conv1-1, synapse, 0.5, 0, 0.7090399861335754
conv1-1, synapse, 0.6, 0, 0.25402000546455383
conv1-1, synapse, 0.7, 0, 0.1178399994969368
conv1-1, synapse, 0.8, 0, 0.1501999944448471
conv1-1, synapse, 0.9, 0, 0.033719997853040695
conv1-1, synapse, 1.0, 0, 0.004999999888241291
conv1-1, node, 0.0, 0, 0.9038199782371521
conv1-1, node, 0.1, 0, 0.8953399658203125
conv1-1, node, 0.2, 0, 0.8663599491119385
conv1-1, node, 0.3, 0, 0.8577799797058105
conv1-1, node, 0.4, 0, 0.8596000075340271
conv1-1, node, 0.5, 0, 0.4450399875640869
conv1-1, node, 0.6, 0, 0.3471999764442444
conv1-1, node, 0.7, 0, 0.16356000304222107
conv1-1, node, 0.8, 0, 0.16619999706745148
conv1-1, node, 0.9, 0, 0.017160000279545784
conv1-1, node, 1.0, 0, 0.004999999888241291
conv1-2, synapse, 0.0, 0, 0.9038199782371521
conv1-2, synapse, 0.1, 0, 0.8979799747467041
conv1-2, synapse, 0.2, 0, 0.8894799947738647
conv1-2, synapse, 0.3, 0, 0.8716199994087219
conv1-2, synapse, 0.4, 0, 0.8754000067710876
conv1-2, synapse, 0.5, 0, 0.8102200031280518
conv1-2, synapse, 0.6, 0, 0.7272999882698059
conv1-2, synapse, 0.7, 0, 0.7174599766731262
conv1-2, synapse, 0.8, 0, 0.26100000739097595
conv1-2, synapse, 0.9, 0, 0.2238999903202057
conv1-2, synapse, 1.0, 0, 0.004999999888241291
conv1-2, node, 0.0, 0, 0.9038199782371521
conv1-2, node, 0.1, 0, 0.8981199860572815
conv1-2, node, 0.2, 0, 0.8440600037574768
conv1-2, node, 0.3, 0, 0.8422200083732605
conv1-2, node, 0.4, 0, 0.7217199802398682
conv1-2, node, 0.5, 0, 0.623199999332428
conv1-2, node, 0.6, 0, 0.3851799964904785
conv1-2, node, 0.7, 0, 0.22727999091148376
conv1-2, node, 0.8, 0, 0.15029999613761902
conv1-2, node, 0.9, 0, 0.0221599992364645
conv1-2, node, 1.0, 0, 0.004999999888241291
conv2-1, synapse, 0.0, 0, 0.9038199782371521
conv2-1, synapse, 0.1, 0, 0.9008599519729614
conv2-1, synapse, 0.2, 0, 0.8962799906730652
conv2-1, synapse, 0.3, 0, 0.8664199709892273
conv2-1, synapse, 0.4, 0, 0.8601599931716919
conv2-1, synapse, 0.5, 0, 0.8211399912834167
conv2-1, synapse, 0.6, 0, 0.767259955406189
conv2-1, synapse, 0.7, 0, 0.6618399620056152
conv2-1, synapse, 0.8, 0, 0.46977999806404114
conv2-1, synapse, 0.9, 0, 0.11549999564886093
conv2-1, synapse, 1.0, 0, 0.004999999888241291
conv2-1, node, 0.0, 0, 0.9038199782371521
conv2-1, node, 0.1, 0, 0.8965999484062195
conv2-1, node, 0.2, 0, 0.8829999566078186
conv2-1, node, 0.3, 0, 0.8788999915122986
conv2-1, node, 0.4, 0, 0.8375599980354309
conv2-1, node, 0.5, 0, 0.8328399658203125
conv2-1, node, 0.6, 0, 0.5649999976158142
conv2-1, node, 0.7, 0, 0.3741999864578247
conv2-1, node, 0.8, 0, 0.20555999875068665
conv2-1, node, 0.9, 0, 0.07197999954223633
conv2-1, node, 1.0, 0, 0.004999999888241291
conv2-2, synapse, 0.0, 0, 0.9038199782371521
conv2-2, synapse, 0.1, 0, 0.901479959487915
conv2-2, synapse, 0.2, 0, 0.8995999693870544
conv2-2, synapse, 0.3, 0, 0.8817999958992004
conv2-2, synapse, 0.4, 0, 0.8774999976158142
conv2-2, synapse, 0.5, 0, 0.8522399663925171
conv2-2, synapse, 0.6, 0, 0.8378799557685852
conv2-2, synapse, 0.7, 0, 0.18587999045848846
conv2-2, synapse, 0.8, 0, 0.6362199783325195
conv2-2, synapse, 0.9, 0, 0.07248000055551529
conv2-2, synapse, 1.0, 0, 0.004999999888241291
conv2-2, node, 0.0, 0, 0.9038199782371521
conv2-2, node, 0.1, 0, 0.8912999629974365
conv2-2, node, 0.2, 0, 0.8422600030899048
conv2-2, node, 0.3, 0, 0.68013995885849
conv2-2, node, 0.4, 0, 0.49445998668670654
conv2-2, node, 0.5, 0, 0.6075400114059448
conv2-2, node, 0.6, 0, 0.18879999220371246
conv2-2, node, 0.7, 0, 0.12125999480485916
conv2-2, node, 0.8, 0, 0.04779999703168869
conv2-2, node, 0.9, 0, 0.013199999928474426
conv2-2, node, 1.0, 0, 0.004999999888241291
conv3-1, synapse, 0.0, 0, 0.9038199782371521
conv3-1, synapse, 0.1, 0, 0.901479959487915
