layer, level, fraction, repeat, accuracy
conv3-1, node, 0.3, 0, 0.8694199919700623
conv3-1, node, 0.4, 0, 0.8421799540519714
conv3-1, node, 0.5, 0, 0.7773599624633789
conv3-1, node, 0.6, 0, 0.681659996509552
conv3-1, node, 0.7, 0, 0.5366799831390381
conv3-1, node, 0.8, 0, 0.2593199908733368
conv3-1, node, 0.9, 0, 0.05203999951481819
conv3-1, node, 1.0, 0, 0.004999999888241291
conv3-2, synapse, 0.0, 0, 0.9038199782371521
conv3-2, synapse, 0.1, 0, 0.9025599956512451
conv3-2, synapse, 0.2, 0, 0.8996599912643433
conv3-2, synapse, 0.3, 0, 0.8979399800300598
conv3-2, synapse, 0.4, 0, 0.895859956741333
conv3-2, synapse, 0.5, 0, 0.8853399753570557
conv3-2, synapse, 0.6, 0, 0.8682000041007996
conv3-2, synapse, 0.7, 0, 0.8341400027275085
conv3-2, synapse, 0.8, 0, 0.671779990196228
conv3-2, synapse, 0.9, 0, 0.23245999217033386
conv3-2, synapse, 1.0, 0, 0.004999999888241291
conv3-2, node, 0.0, 0, 0.9038199782371521
conv3-2, node, 0.1, 0, 0.8959199786186218
conv3-2, node, 0.2, 0, 0.8873999714851379
conv3-2, node, 0.3, 0, 0.8609799742698669
conv3-2, node, 0.4, 0, 0.8306199908256531
conv3-2, node, 0.5, 0, 0.7888599634170532
conv3-2, node, 0.6, 0, 0.5128399729728699
conv3-2, node, 0.7, 0, 0.3503199815750122
conv3-2, node, 0.8, 0, 0.07214000076055527
conv3-2, node, 0.9, 0, 0.021080000326037407
conv3-2, node, 1.0, 0, 0.004999999888241291
conv3-3, synapse, 0.0, 0, 0.9038199782371521
conv3-3, synapse, 0.1, 0, 0.9020999670028687
conv3-3, synapse, 0.2, 0, 0.8995999693870544
conv3-3, synapse, 0.3, 0, 0.8944799900054932
conv3-3, synapse, 0.4, 0, 0.8889600038528442
conv3-3, synapse, 0.5, 0, 0.864579975605011
conv3-3, synapse, 0.6, 0, 0.8448999524116516
conv3-3, synapse, 0.7, 0, 0.7897599935531616
conv3-3, synapse, 0.8, 0, 0.6163399815559387
conv3-3, synapse, 0.9, 0, 0.11945999413728714
conv3-3, synapse, 1.0, 0, 0.004999999888241291
conv3-3, node, 0.0, 0, 0.9038199782371521
conv3-3, node, 0.1, 0, 0.8905799984931946
conv3-3, node, 0.2, 0, 0.8541399836540222
conv3-3, node, 0.3, 0, 0.7787999510765076
conv3-3, node, 0.4, 0, 0.6657399535179138
conv3-3, node, 0.5, 0, 0.5864599943161011
conv3-3, node, 0.6, 0, 0.49074000120162964
conv3-3, node, 0.7, 0, 0.23476000130176544
conv3-3, node, 0.8, 0, 0.06567999720573425
conv3-3, node, 0.9, 0, 0.03711999952793121
conv3-3, node, 1.0, 0, 0.004999999888241291
conv4-1, synapse, 0.0, 0, 0.9038199782371521
conv4-1, synapse, 0.1, 0, 0.9016599655151367
conv4-1, synapse, 0.2, 0, 0.8979599475860596
conv4-1, synapse, 0.3, 0, 0.894059956073761
conv4-1, synapse, 0.4, 0, 0.8912000060081482
conv4-1, synapse, 0.5, 0, 0.8717799782752991
conv4-1, synapse, 0.6, 0, 0.8534199595451355
conv4-1, synapse, 0.7, 0, 0.7543599605560303
conv4-1, synapse, 0.8, 0, 0.6020399928092957
conv4-1, synapse, 0.9, 0, 0.11355999857187271
conv4-1, synapse, 1.0, 0, 0.004999999888241291
conv4-1, node, 0.0, 0, 0.9038199782371521
conv4-1, node, 0.1, 0, 0.8960999846458435
conv4-1, node, 0.2, 0, 0.8853600025177002
conv4-1, node, 0.3, 0, 0.8619799613952637
conv4-1, node, 0.4, 0, 0.8307399749755859
conv4-1, node, 0.5, 0, 0.763480007648468
conv4-1, node, 0.6, 0, 0.6536799669265747
conv4-1, node, 0.7, 0, 0.513759970664978
conv4-1, node, 0.8, 0, 0.32391998171806335
conv4-1, node, 0.9, 0, 0.05673999711871147
conv4-1, node, 1.0, 0, 0.004999999888241291
conv4-2, synapse, 0.0, 0, 0.9038199782371521
conv4-2, synapse, 0.1, 0, 0.9024399518966675
conv4-2, synapse, 0.2, 0, 0.9016000032424927
conv4-2, synapse, 0.3, 0, 0.8981199860572815
conv4-2, synapse, 0.4, 0, 0.8942999839782715
conv4-2, synapse, 0.5, 0, 0.8911199569702148
conv4-2, synapse, 0.6, 0, 0.8775399923324585
conv4-2, synapse, 0.7, 0, 0.8572799563407898
conv4-2, synapse, 0.8, 0, 0.8014400005340576
conv4-2, synapse, 0.9, 0, 0.3996799886226654
conv4-2, synapse, 1.0, 0, 0.004999999888241291
conv4-2, node, 0.0, 0, 0.9038199782371521
conv4-2, node, 0.1, 0, 0.8953199982643127
conv4-2, node, 0.2, 0, 0.8774600028991699
conv4-2, node, 0.3, 0, 0.855739951133728
conv4-2, node, 0.4, 0, 0.823639988899231
conv4-2, node, 0.5, 0, 0.7624599933624268
conv4-2, node, 0.6, 0, 0.6471999883651733
conv4-2, node, 0.7, 0, 0.5497599840164185
conv4-2, node, 0.8, 0, 0.4050999879837036
conv4-2, node, 0.9, 0, 0.1246199980378151
conv4-2, node, 1.0, 0, 0.004999999888241291
conv4-3, synapse, 0.0, 0, 0.9038199782371521
conv4-3, synapse, 0.1, 0, 0.9028599858283997
conv4-3, synapse, 0.2, 0, 0.9004999995231628
conv4-3, synapse, 0.3, 0, 0.8972399830818176
conv4-3, synapse, 0.4, 0, 0.8953799605369568
conv4-3, synapse, 0.5, 0, 0.8915199637413025
conv4-3, synapse, 0.6, 0, 0.8794999718666077
conv4-3, synapse, 0.7, 0, 0.8539199829101562
conv4-3, synapse, 0.8, 0, 0.7659399509429932
conv4-3, synapse, 0.9, 0, 0.38811999559402466
conv4-3, synapse, 1.0, 0, 0.004999999888241291
conv4-3, node, 0.0, 0, 0.9038199782371521
conv4-3, node, 0.1, 0, 0.8943199515342712
conv4-3, node, 0.2, 0, 0.882420003414154
conv4-3, node, 0.3, 0, 0.8560599684715271
conv4-3, node, 0.4, 0, 0.8163999915122986
conv4-3, node, 0.5, 0, 0.7667999863624573
conv4-3, node, 0.6, 0, 0.6753199696540833
conv4-3, node, 0.7, 0, 0.4812999963760376
conv4-3, node, 0.8, 0, 0.354559987783432
conv4-3, node, 0.9, 0, 0.0957999974489212
conv4-3, node, 1.0, 0, 0.004999999888241291
conv5-1, synapse, 0.0, 0, 0.9038199782371521
conv5-1, synapse, 0.1, 0, 0.9030599594116211
conv5-1, synapse, 0.2, 0, 0.8997799754142761
conv5-1, synapse, 0.3, 0, 0.8981999754905701
conv5-1, synapse, 0.4, 0, 0.8929599523544312
conv5-1, synapse, 0.5, 0, 0.8878200054168701
conv5-1, synapse, 0.6, 0, 0.8758800029754639
conv5-1, synapse, 0.7, 0, 0.85617995262146
conv5-1, synapse, 0.8, 0, 0.7761399745941162
conv5-1, synapse, 0.9, 0, 0.41821998357772827
conv5-1, synapse, 1.0, 0, 0.004999999888241291
conv5-1, node, 0.0, 0, 0.9038199782371521
conv5-1, node, 0.1, 0, 0.8932399749755859
conv5-1, node, 0.2, 0, 0.8748799562454224
conv5-1, node, 0.3, 0, 0.8491999506950378
conv5-1, node, 0.4, 0, 0.8316799998283386
conv5-1, node, 0.5, 0, 0.7516999840736389
conv5-1, node, 0.6, 0, 0.7013399600982666
conv5-1, node, 0.7, 0, 0.5658400058746338
conv5-1, node, 0.8, 0, 0.37355998158454895
conv5-1, node, 0.9, 0, 0.12539999186992645
conv5-1, node, 1.0, 0, 0.004999999888241291
conv5-2, synapse, 0.0, 0, 0.9038199782371521
conv5-2, synapse, 0.1, 0, 0.9019599556922913
conv5-2, synapse, 0.2, 0, 0.9012799859046936
conv5-2, synapse, 0.3, 0, 0.8983599543571472
conv5-2, synapse, 0.4, 0, 0.8945599794387817
conv5-2, synapse, 0.5, 0, 0.8901799917221069
conv5-2, synapse, 0.6, 0, 0.8832199573516846
conv5-2, synapse, 0.7, 0, 0.8714199662208557
conv5-2, synapse, 0.8, 0, 0.8286199569702148
conv5-2, synapse, 0.9, 0, 0.7019000053405762
conv5-2, synapse, 1.0, 0, 0.004999999888241291
conv5-2, node, 0.0, 0, 0.9038199782371521
conv5-2, node, 0.1, 0, 0.8943799734115601
conv5-2, node, 0.2, 0, 0.8807799816131592
conv5-2, node, 0.3, 0, 0.8638799786567688
conv5-2, node, 0.4, 0, 0.8217599987983704
conv5-2, node, 0.5, 0, 0.7699799537658691
conv5-2, node, 0.6, 0, 0.6994199752807617
conv5-2, node, 0.7, 0, 0.534779965877533
conv5-2, node, 0.8, 0, 0.35308000445365906
conv5-2, node, 0.9, 0, 0.15760000050067902
conv5-2, node, 1.0, 0, 0.004999999888241291
conv5-3, synapse, 0.0, 0, 0.9038199782371521
conv5-3, synapse, 0.1, 0, 0.9034799933433533
conv5-3, synapse, 0.2, 0, 0.9020799994468689
conv5-3, synapse, 0.3, 0, 0.8998199701309204
conv5-3, synapse, 0.4, 0, 0.8972199559211731
conv5-3, synapse, 0.5, 0, 0.8932799696922302
conv5-3, synapse, 0.6, 0, 0.8845399618148804
conv5-3, synapse, 0.7, 0, 0.8762999773025513
