INFO:repeats=2, level=synapse
EXPT:layer=conv5, repeat=1, fraction=0.0, accuracy=0.79072
EXPT:layer=conv5, repeat=2, fraction=0.0, accuracy=0.79072
EXPT:layer=conv5, repeat=1, fraction=0.1, accuracy=0.78878
EXPT:layer=conv5, repeat=2, fraction=0.1, accuracy=0.78906
EXPT:layer=conv5, repeat=1, fraction=0.2, accuracy=0.78586
EXPT:layer=conv5, repeat=2, fraction=0.2, accuracy=0.78356
EXPT:layer=conv5, repeat=1, fraction=0.3, accuracy=0.78156
EXPT:layer=conv5, repeat=2, fraction=0.3, accuracy=0.7802
EXPT:layer=conv5, repeat=1, fraction=0.4, accuracy=0.7732
EXPT:layer=conv5, repeat=2, fraction=0.4, accuracy=0.7763
EXPT:layer=conv5, repeat=1, fraction=0.5, accuracy=0.76118
EXPT:layer=conv5, repeat=2, fraction=0.5, accuracy=0.76076
EXPT:layer=conv5, repeat=1, fraction=0.6, accuracy=0.74444
EXPT:layer=conv5, repeat=2, fraction=0.6, accuracy=0.7466
EXPT:layer=conv5, repeat=1, fraction=0.7, accuracy=0.70434
EXPT:layer=conv5, repeat=2, fraction=0.7, accuracy=0.71024
EXPT:layer=conv5, repeat=1, fraction=0.8, accuracy=0.6118
EXPT:layer=conv5, repeat=2, fraction=0.8, accuracy=0.61732
EXPT:layer=conv5, repeat=1, fraction=0.9, accuracy=0.27244
EXPT:layer=conv5, repeat=2, fraction=0.9, accuracy=0.26264
EXPT:layer=conv5, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=conv5, repeat=2, fraction=1.0, accuracy=0.005
EXPT:layer=dense1, repeat=1, fraction=0.0, accuracy=0.7907
EXPT:layer=dense1, repeat=2, fraction=0.0, accuracy=0.79072
EXPT:layer=dense1, repeat=1, fraction=0.1, accuracy=0.79076
EXPT:layer=dense1, repeat=2, fraction=0.1, accuracy=0.7907
EXPT:layer=dense1, repeat=1, fraction=0.2, accuracy=0.79072
EXPT:layer=dense1, repeat=2, fraction=0.2, accuracy=0.79026
EXPT:layer=dense1, repeat=1, fraction=0.3, accuracy=0.78896
EXPT:layer=dense1, repeat=2, fraction=0.3, accuracy=0.7896
EXPT:layer=dense1, repeat=1, fraction=0.4, accuracy=0.78872
EXPT:layer=dense1, repeat=2, fraction=0.4, accuracy=0.78788
EXPT:layer=dense1, repeat=1, fraction=0.5, accuracy=0.78648
EXPT:layer=dense1, repeat=2, fraction=0.5, accuracy=0.78642
EXPT:layer=dense1, repeat=1, fraction=0.6, accuracy=0.78486
EXPT:layer=dense1, repeat=2, fraction=0.6, accuracy=0.78498
EXPT:layer=dense1, repeat=1, fraction=0.7, accuracy=0.78014
EXPT:layer=dense1, repeat=2, fraction=0.7, accuracy=0.78026
EXPT:layer=dense1, repeat=1, fraction=0.8, accuracy=0.77198
EXPT:layer=dense1, repeat=2, fraction=0.8, accuracy=0.77102
EXPT:layer=dense1, repeat=1, fraction=0.9, accuracy=0.73606
EXPT:layer=dense1, repeat=2, fraction=0.9, accuracy=0.7358
EXPT:layer=dense1, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=dense1, repeat=2, fraction=1.0, accuracy=0.005
EXPT:layer=dense2, repeat=1, fraction=0.0, accuracy=0.79072
EXPT:layer=dense2, repeat=2, fraction=0.0, accuracy=0.79072
EXPT:layer=dense2, repeat=1, fraction=0.1, accuracy=0.79026
EXPT:layer=dense2, repeat=2, fraction=0.1, accuracy=0.79066
EXPT:layer=dense2, repeat=1, fraction=0.2, accuracy=0.78818
EXPT:layer=dense2, repeat=2, fraction=0.2, accuracy=0.78872
EXPT:layer=dense2, repeat=1, fraction=0.3, accuracy=0.78656
EXPT:layer=dense2, repeat=2, fraction=0.3, accuracy=0.78736
EXPT:layer=dense2, repeat=1, fraction=0.4, accuracy=0.78438
EXPT:layer=dense2, repeat=2, fraction=0.4, accuracy=0.7863
EXPT:layer=dense2, repeat=1, fraction=0.5, accuracy=0.78136
EXPT:layer=dense2, repeat=2, fraction=0.5, accuracy=0.78158
EXPT:layer=dense2, repeat=1, fraction=0.6, accuracy=0.77746
EXPT:layer=dense2, repeat=2, fraction=0.6, accuracy=0.77442
EXPT:layer=dense2, repeat=1, fraction=0.7, accuracy=0.76686
EXPT:layer=dense2, repeat=2, fraction=0.7, accuracy=0.76736
EXPT:layer=dense2, repeat=1, fraction=0.8, accuracy=0.74552
EXPT:layer=dense2, repeat=2, fraction=0.8, accuracy=0.74566
EXPT:layer=dense2, repeat=1, fraction=0.9, accuracy=0.6738
EXPT:layer=dense2, repeat=2, fraction=0.9, accuracy=0.67674
EXPT:layer=dense2, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=dense2, repeat=2, fraction=1.0, accuracy=0.005
EXPT:layer=dense3, repeat=1, fraction=0.0, accuracy=0.79072
EXPT:layer=dense3, repeat=2, fraction=0.0, accuracy=0.79072
EXPT:layer=dense3, repeat=1, fraction=0.1, accuracy=0.77804
EXPT:layer=dense3, repeat=2, fraction=0.1, accuracy=0.7766
EXPT:layer=dense3, repeat=1, fraction=0.2, accuracy=0.75894
EXPT:layer=dense3, repeat=2, fraction=0.2, accuracy=0.75932
EXPT:layer=dense3, repeat=1, fraction=0.3, accuracy=0.73518
EXPT:layer=dense3, repeat=2, fraction=0.3, accuracy=0.73562
EXPT:layer=dense3, repeat=1, fraction=0.4, accuracy=0.70658
EXPT:layer=dense3, repeat=2, fraction=0.4, accuracy=0.70842
EXPT:layer=dense3, repeat=1, fraction=0.5, accuracy=0.665
EXPT:layer=dense3, repeat=2, fraction=0.5, accuracy=0.66466
EXPT:layer=dense3, repeat=1, fraction=0.6, accuracy=0.61692
EXPT:layer=dense3, repeat=2, fraction=0.6, accuracy=0.61112
EXPT:layer=dense3, repeat=1, fraction=0.7, accuracy=0.53872
EXPT:layer=dense3, repeat=2, fraction=0.7, accuracy=0.53784
EXPT:layer=dense3, repeat=1, fraction=0.8, accuracy=0.43252
EXPT:layer=dense3, repeat=2, fraction=0.8, accuracy=0.4301
EXPT:layer=dense3, repeat=1, fraction=0.9, accuracy=0.27448
EXPT:layer=dense3, repeat=2, fraction=0.9, accuracy=0.27002
EXPT:layer=dense3, repeat=1, fraction=1.0, accuracy=0.005
EXPT:layer=dense3, repeat=2, fraction=1.0, accuracy=0.005
